,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Pitangueiras,0,0.3333333333333333,0.6887558845627234,0.51985559566787,0.03026203100948266,0.017871017871017872,0.016679121171171832,0.017871017871017872,53.11904761904768
Portuguesa,0,0.4722222222222222,0.6451408556581611,0.5783132530120482,0.031210418770849662,0.005439005439005439,0.02280611900529095,0.005439005439005439,102.14999999999999
Praca da Bandeira,0,0.15277777777777776,0.585686918308766,0.4376899696048632,0.026887479560641876,0.021076146076146076,0.03385453801041228,0.021076146076146076,74.08333333333333
Praca Seca,0,0.3472222222222222,0.7298538348560486,0.5353159851301115,0.03040205486809587,0.003205128205128205,0.01823180264586427,0.003205128205128205,111.81666666666666
Praia da Bandeira,0,0.34027777777777773,0.723482967768492,0.5236363636363637,0.03034593387195415,0.009324009324009324,0.01787343200350302,0.009324009324009324,96.26666666666665
Quintino Bocaiuva,2,0.3472222222222222,0.682945780078507,0.5236363636363637,0.030412783962787446,0.005827505827505828,0.020470182531743243,0.005827505827505828,113.76666666666665
Ramos,1,0.3055555555555555,0.6767139938692337,0.4982698961937716,0.029973330963145486,0.006993006993006993,0.016276312149405767,0.006993006993006993,99.34999999999998
Realengo,2,0.2638888888888889,0.6488716288128328,0.49146757679180886,0.029513948023842572,0.00505050505050505,0.03106593320779998,0.00505050505050505,88.88333333333333
Riachuelo,0,0.5069444444444444,0.6145945216859573,0.5975103734439834,0.03137563695670536,0.010003885003885004,0.02857165075535223,0.010003885003885004,74.38333333333333
Ribeira,0,0.08333333333333333,0.9271567919561347,0.3988919667590028,0.02329864539248641,0.0,0.004282459563165429,0.0,98.46666666666665
Ricardo de Albuquerque,2,0.5,0.5879005524703824,0.5647058823529412,0.03133292950502727,0.013791763791763792,0.028252092913938834,0.013791763791763792,61.866666666666724
Rio Comprido,0,0.3819444444444444,0.6770967566842555,0.5517241379310345,0.030669560236187103,0.01184926184926185,0.02161262712459298,0.01184926184926185,100.71666666666664
Rocha,0,0.5347222222222222,0.6052956398063672,0.6050420168067226,0.031484562239748506,0.004176379176379176,0.02656965553112047,0.004176379176379176,88.08333333333333
Rocha Miranda,2,0.40277777777777773,0.7004528421539886,0.5333333333333333,0.030828636745075064,0.005439005439005439,0.017915936272969536,0.005439005439005439,91.65
Rocinha,1,0.006944444444444444,0.0,0.3356643356643357,0.00521847173281816,0.0,5.0378418522229325e-17,0.0,95.91666666666664
Sampaio,1,0.5208333333333333,0.5671210675362628,0.5901639344262295,0.03142395693424403,0.021853146853146852,0.03169450032488086,0.021853146853146852,106.93333333333332
Santa Cruz,2,0.006944444444444444,0.0,0.2926829268292683,0.004968322324867853,0.0,1.682156097916904e-17,0.0,73.46666666666667
Santa Teresa,0,0.13194444444444445,0.7809951179356985,0.4376899696048632,0.02617332696902551,0.003787878787878788,0.011550055762586721,0.003787878787878788,33.79126984126982
Santissimo,2,0.1597222222222222,0.7385329781837806,0.4528301886792453,0.027278182223607252,0.0035936285936285935,0.023720344352133046,0.0035936285936285935,72.2666666666667
Santo Cristo,1,0.05555555555555555,0.6275836735862604,0.3956043956043956,0.019019792590826853,0.014277389277389278,0.01832194079406059,0.014277389277389278,106.98333333333332
Sao Conrado,4,0.006944444444444444,0.0,0.26229508196721313,0.004668251776598781,0.0,2.760461288889278e-17,0.0,104.59999999999998
Sao Francisco Xavier,1,0.4583333333333333,0.5888947111522465,0.5581395348837209,0.031123910808886792,0.011557886557886558,0.028656473744758257,0.011557886557886558,90.81666666666668
Saude,1,0.013888888888888888,0.0,0.33410672853828305,0.008911597460614028,0.0,0.0017158366229328614,0.0,98.96666666666665
Senador Camara,2,0.15277777777777776,0.7643406001581636,0.4311377245508982,0.0269759813006156,9.712509712509713e-05,0.0140922364347503,9.712509712509713e-05,64.26904761904765
Senador Vasconcelos,2,0.10416666666666666,0.7791276853519519,0.4161849710982659,0.02475088355888821,0.0008741258741258741,0.01964579380280737,0.0008741258741258741,76.4
