,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Ribeira,0,0.08333333333333333,0.927156791956135,0.3988919667590028,0.02329864539248564,0.0,0.0042824595631655886,0.0,100.71666666666668
Ricardo de Albuquerque,2,0.5,0.5879005524703826,0.5647058823529412,0.03133292950502563,0.013791763791763792,0.02825209291394105,0.013791763791763792,96.21666666666668
Rio Comprido,0,0.3819444444444444,0.6770967566842556,0.5517241379310345,0.030669560236185625,0.01184926184926185,0.02161262712459339,0.01184926184926185,69.05000000000003
Rocha,0,0.5347222222222222,0.6052956398063674,0.6050420168067226,0.031484562239747015,0.004176379176379176,0.026569655531119805,0.004176379176379176,85.1
Rocha Miranda,2,0.40277777777777773,0.700452842153989,0.5333333333333333,0.03082863674507375,0.005439005439005439,0.017915936272969647,0.005439005439005439,97.29999999999998
Rocinha,0,0.006944444444444444,0.0,0.3356643356643357,0.005218471732818128,0.0,9.040510721112386e-17,0.0,94.88333333333334
Sampaio,1,0.5208333333333333,0.5671210675362629,0.5901639344262295,0.031423956934242714,0.021853146853146852,0.03169450032488418,0.021853146853146852,83.71666666666667
Santa Cruz,2,0.006944444444444444,0.0,0.2926829268292683,0.004968322324867772,0.0,4.295967880833939e-17,0.0,106.93333333333334
Santa Teresa,0,0.13194444444444445,0.7809951179356985,0.4376899696048632,0.02617332696902447,0.003787878787878788,0.01155005576258743,0.003787878787878788,45.27857142857146
Santissimo,2,0.1597222222222222,0.7385329781837804,0.4528301886792453,0.027278182223606274,0.0035936285936285935,0.02372034435213512,0.0035936285936285935,69.23333333333335
Santo Cristo,1,0.05555555555555555,0.6275836735862603,0.3956043956043956,0.019019792590826312,0.014277389277389278,0.01832194079406052,0.014277389277389278,70.05000000000003
Sao Conrado,0,0.006944444444444444,0.0,0.26229508196721313,0.0046682517765987514,0.0,2.967495885555974e-17,0.0,99.35
Sao Francisco Xavier,1,0.4583333333333333,0.588894711152246,0.5581395348837209,0.031123910808885553,0.011557886557886558,0.02865647374475788,0.011557886557886558,111.93333333333335
Saude,1,0.013888888888888888,0.0,0.33410672853828305,0.008911597460613922,0.0,0.0017158366229328061,0.0,58.73333333333339
Senador Camara,2,0.15277777777777776,0.7643406001581636,0.4311377245508982,0.026975981300614495,9.712509712509713e-05,0.01409223643475061,9.712509712509713e-05,102.26666666666668
Senador Vasconcelos,2,0.10416666666666666,0.7791276853519519,0.4161849710982659,0.024750883558887514,0.0008741258741258741,0.019645793802809286,0.0008741258741258741,104.14999999999999
Sepetiba,3,0.034722222222222224,0.8410083157941355,0.233387358184765,0.004076470300001569,0.0135003885003885,0.014900352124280704,0.0135003885003885,104.60000000000001
Tanque,0,0.3263888888888889,0.7387089755423846,0.51985559566787,0.030205017482557998,0.00505050505050505,0.014753583228637205,0.00505050505050505,73.46666666666671
Taquara,0,0.2569444444444444,0.7306682444861414,0.496551724137931,0.029370717681537557,0.006604506604506604,0.012880193804873421,0.006604506604506604,73.66666666666669
Taua,0,0.4444444444444444,0.6282629649127247,0.555984555984556,0.031053049847110166,0.00844988344988345,0.022654101590548235,0.00844988344988345,78.88333333333331
Todos os Santos,0,0.3472222222222222,0.6960982632319598,0.51985559566787,0.030434959413794874,0.01252913752913753,0.025953510519963394,0.01252913752913753,98.46666666666665
Tomas Coelho,1,0.3263888888888889,0.7311562114675911,0.5236363636363637,0.030230465189091,0.004759129759129759,0.016609810655099803,0.004759129759129759,48.44523809523813
Turiacu,2,0.3055555555555555,0.790589466740726,0.5017421602787456,0.029996768573543876,0.001651126651126651,0.012427282338924843,0.001651126651126651,68.8166666666667
Urca,4,0.013888888888888888,0.0,0.2656826568265683,0.005933026824810568,0.015151515151515152,0.021633049935922632,0.015151515151515152,43.8214285714286
Vargem Grande,3,0.034722222222222224,0.8399247849537262,0.233387358184765,0.004079644572130706,0.0,0.01513445134428572,0.0,84.33333333333333
Vargem Pequena,3,0.041666666666666664,0.6888657041744202,0.23376623376623376,0.004115502667345668,0.0,0.018528745894418903,0.0,40.82142857142859
Vasco da Gama,1,0.14583333333333331,0.6724123301515835,0.4444444444444444,0.026697257143875056,0.0019425019425019425,0.012945187763882912,0.0019425019425019425,51.93571428571433
Vaz Lobo,2,0.5277777777777778,0.5955307644328801,0.576,0.031465254395825544,0.0027195027195027195,0.02823772366206903,0.0027195027195027195,57.116666666666724
Vicente de Carvalho,1,0.2708333333333333,0.7530514702189632,0.4864864864864865,0.029588525795004306,0.002136752136752137,0.013394876998301152,0.002136752136752137,72.26666666666668
Vigario Geral,1,0.3263888888888889,0.6066787260452027,0.5017421602787456,0.030170997707231632,0.008158508158508158,0.020617538796680865,0.008158508158508158,66.40000000000003
Vila Cosmos,2,0.41666666666666663,0.6088832851841003,0.5454545454545454,0.030908328314439834,0.015734265734265736,0.027167420291565703,0.015734265734265736,92.38333333333335
Vila da Penha,2,0.3472222222222222,0.7369953127793344,0.5161290322580645,0.030420161857406168,0.0006798756798756799,0.015434376489433233,0.0006798756798756799,94.16666666666669
Vila Isabel,0,0.3958333333333333,0.6538285705873872,0.5373134328358209,0.03079476934650355,0.006798756798756799,0.029302049728027746,0.006798756798756799,80.75000000000001
Vila Valqueire,0,0.3263888888888889,0.7335375100732878,0.5236363636363637,0.030228267892561764,0.0013597513597513598,0.019000275002002086,0.0013597513597513598,67.76666666666668
Vista Alegre,2,0.40277777777777773,0.6959915871206043,0.5393258426966292,0.030830807204308804,0.003108003108003108,0.018769702160315368,0.003108003108003108,74.01666666666671
Zumbi,0,0.20138888888888887,0.8323986017333629,0.4458204334365325,0.028402882446400952,0.00019425019425019425,0.00974826476628992,0.00019425019425019425,34.9079365079365
